ID,Status Pernikahan,Program Studi,Kelas Reguler/Malam,Pendidikan Terakhir,Nilai SMA,Daerah Asal,Pendidikan Ibu,Pendidikan Ayah,Pekerjaan Ibu,Pekerjaan Ayah,Nilai Ujian Masuk,Pindahan,Berkebutuhan Khusus,Status pembayaran semester terakhir,Jenis Kelamin,Beasiswa,Usia saat mendaftar,IP Semester 1,IP Semester 2,Target
00002,Belum Menikah,Teknik Industri,Reguler,SMA/Sederajat,66.55,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,53,Ya,Tidak,Sudah,Pria,Tidak,21,2.48,2.52,Lulus Tepat Waktu
00003,Belum Menikah,Jurnalistik,Reguler,SMA/Sederajat,63.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,58.25,Tidak,Tidak,Sudah,Wanita,Ya,19,2.86,2.63,Lulus Tepat Waktu
00004,Belum Menikah,Pertanian,Reguler,SMA/Sederajat,62.5,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,60.75,Ya,Tidak,Sudah,Pria,Tidak,18,2.2,2.07,Lulus Tidak Tepat Waktu
00005,Belum Menikah,Teknik Mesin,Reguler,Perguruan Tinggi,75,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,75,Tidak,Tidak,Sudah,Wanita,Tidak,20,2.6,2.4,Lulus Tidak Tepat Waktu
00010,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,65,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Pegawai Negri,Pegawai Negri,64.55,Ya,Tidak,Sudah,Wanita,Tidak,18,2.61,2.72,Lulus Tepat Waktu
00011,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,56.5,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,58.25,Ya,Tidak,Sudah,Wanita,Tidak,19,2.57,2.36,Lulus Tepat Waktu
00014,Belum Menikah,Keperawatan,Reguler,SMA/Sederajat,86,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,81.65,Ya,Tidak,Sudah,Wanita,Ya,18,2.9,2.6,Lulus Tepat Waktu
00015,Belum Menikah,Pertanian,Reguler,SMA/Sederajat,66.55,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,61.5,Tidak,Tidak,Belum,Wanita,Ya,28,2.17,2.2,Gagal
00017,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,76.5,Luar Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,65.9,Ya,Tidak,Sudah,Wanita,Tidak,18,2.94,2.94,Lulus Tepat Waktu
00019,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,67.5,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Wiraswasta,70.15,Ya,Tidak,Sudah,Wanita,Tidak,19,2.69,2.8,Lulus Tidak Tepat Waktu
00020,Menikah,Perpustakaan,Reguler,SMA/Sederajat,74.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Pegawai Negri,78.05,Ya,Tidak,Belum,Pria,Tidak,29,0,0,Gagal
00025,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,60.5,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Pegawai Negri,58.4,Tidak,Tidak,Sudah,Pria,Tidak,20,2.48,2.17,Lulus Tidak Tepat Waktu
