ID,Status Pernikahan,Program Studi,Kelas Siang/Malam,Pendidikan Terakhir,Nilai SMA,Daerah Asal,Pendidikan Ibu,Pendidikan Ayah,Pekerjaan Ibu,Pekerjaan Ayah,Nilai Ujian Masuk,Pindahan,Berkebutuhan Khusus,Status pembayaran semester terakhir,Jenis Kelamin,Beasiswa,Umur saat mendaftar,IP Semester 1,IP Semester 2,Target
01817,Belum Menikah,Perbankan,Siang,SMA/Sederajat,66,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,62.75,Ya,Tidak,Sudah,Laki-laki,Tidak,18,2.63,2.63,Lulus Tidak Tepat Waktu
01819,Belum Menikah,Teknik Industri,Siang,SMA/Sederajat,61,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Pegawai Negri,58.55,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.42,0,Gagal
01820,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,73.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,64.4,Tidak,Tidak,Sudah,Perempuan,Tidak,19,2,0,Gagal
01821,Belum Menikah,Perbankan,Siang,SMA/Sederajat,68,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Pegawai Negri,Lainnya,68.2,Tidak,Tidak,Sudah,Perempuan,Ya,19,2.57,3.1,Lulus Tepat Waktu
01822,Belum Menikah,Teknik Industri,Siang,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,65.8,Ya,Tidak,Sudah,Laki-laki,Tidak,19,0,0,Gagal
01823,Belum Menikah,Perbankan,Siang,SMA/Sederajat,68,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,59.65,Ya,Tidak,Sudah,Perempuan,Ya,18,2.64,2.64,Lulus Tepat Waktu
01824,Belum Menikah,Pariwisata,Malam,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Pegawai Swasta,Lainnya,65.75,Tidak,Tidak,Sudah,Perempuan,Tidak,27,2.2,2.23,Lulus Tepat Waktu
01829,Belum Menikah,Perbankan,Siang,SMA/Sederajat,66.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,63.1,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.75,2.56,Lulus Tepat Waktu
01830,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,65.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,59.2,Ya,Tidak,Sudah,Perempuan,Tidak,20,0,0,Lulus Tidak Tepat Waktu
01832,Belum Menikah,Manajemen,Siang,SMA/Sederajat,59,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Lainnya,Lainnya,55,Ya,Tidak,Sudah,Laki-laki,Tidak,19,2.4,2.71,Lulus Tepat Waktu
01838,Belum Menikah,Pariwisata,Malam,SMA/Sederajat,60,Luar Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,59.75,Tidak,Tidak,Sudah,Perempuan,Tidak,25,2.27,2.35,Lulus Tidak Tepat Waktu
01846,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,75,Pulau Jawa,Lebih dari S1,Lebih dari S1,Wiraswasta,Pegawai Swasta,66.05,Ya,Tidak,Sudah,Perempuan,Tidak,29,2.5,2.5,Gagal
01849,Belum Menikah,Pertanian,Siang,SMA/Sederajat,67.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,69.6,Tidak,Tidak,Sudah,Laki-laki,Ya,19,2.6,2.63,Lulus Tepat Waktu
01853,Belum Menikah,Perbankan,Siang,SMA/Sederajat,67,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,65.5,Ya,Tidak,Sudah,Laki-laki,Tidak,18,2.92,2.69,Lulus Tepat Waktu
01854,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,65.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,67.95,Ya,Tidak,Sudah,Laki-laki,Tidak,20,2,2.2,Gagal
01858,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,88.5,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Lainnya,Pegawai Swasta,81.15,Tidak,Tidak,Sudah,Perempuan,Ya,18,3.27,3.08,Lulus Tepat Waktu
